"emy-trex-name","Tyrannosaurus Rex"
"it-trexTooth-name","T-Rex-Zahn"
"it-trexTooth","Der Zahn eines Tyrannosaurus Rex. Sehr wertvoll."
"zn-trex-name","T-Rex"
"evt-harbor-quest-trex-fail","$name Rannte [wütend|rasend|verärgert] davon. Später fanden wir heraus, dass [$he sich bei seinen Kollegen beschwert hatte|$he sich diese Nacht lautstark beschwerte|Man $he bis spätnachts herumschreien hörte] über unsere Inkompetenz und unser mangelhaftes Vertrauen. Unser Ansehen sollte sich nicht bald wieder erholen."
"evt-harbor-quest-trex-fail-action","Mir doch egal"
"evt-harbor-quest-trex-complete-action","Gib es her"
"evt-harbor-quest-trex-complete","Als wir uns für den Abflug fertig machten, winkte mir der Jäger, der uns vor unserer letzten Reise bezüglich der Riesenechse angesprochen hatte, von den Docks aus herüber. Er fragte, ob es uns gelungen sei Beweise zu sammeln, und ob wir bereit wären Teile davon mit ihm zu teilen."
"evt-harbor-quest-trex-complete-1","$name Dankte uns [ohne Ende|endlos]. In seiner Dankbarkeit bot er an, Teile unserer nächsten Expedition zu finanzieren, was ich dankend annahm."
"evt-harbor-quest-trex-complete-report","$name Dankte uns [ohne Ende|endlos]. In seiner Dankbarkeit bot er an, einen Teil unserer nächsten Expedition zu finanzieren, was ich dankend annahm."
"evt-trex-hunt-quest","Ich wurde von einem Jäger angesprochen, der mir von Legenden über eine Riesenechese erzählte, die in der Gegend umherziehe, zu der wir unterwegs waren."
"evt-trex-hunt-accept","Ich nahm an, obwohl sich mein Herz im Angesicht eines solch furchteinflößenden Gegners nicht gut anfühlte"
"evt-trex-hunt-refuse","Ich dache es wäre klüger, unsere Stärke nicht an einem Gegner solcher Dimension zu messen. Der Jäger ging daraufhin mit einem enttäuschten Blick"
"trex-mod-desc","Dieser Mod fügt den T-Rex und eine damit verbundene Quest-Reihe zum Spiel hinzu."
