"emy-trex-name,""Tyrannosaurus Rex"""
"it-trexTooth-name,""dents de T-rex"""
"it-trexTooth,""Une dent très précieuse de Tyrannosaurus rex."""
"zn-trex-name,""T-rex"""
"zn-trex-report,""Nous [avons été attaqué par|avons été combattu par|attéri nez à nez avec|nous sommes défendu contre] un T-rex [gigantesque|géant|gargantuesque|colossal|monstrueux]."""
"evt-harbor-quest-trex-fail,""$name est parti en trombe [de colère|de rage|furieusement]. Nous avons découvert plus tard qu'[$il s'était {plaint|plainte} bruyamment ce soir-là|$il avait hurlé cette nuit-là|$il avait crié très fort cette nuit-là] à propos de notre incompétence et de notre manque de fiabilité. Notre réputation ne s'en remettrait pas de sitôt."""
"evt-harbor-quest-trex-fail-action,""Ne pas donner la dent"""
"evt-harbor-quest-trex-complete-action,""La remettre"""
"evt-harbor-quest-trex-complete,""Alors que nous nous préparions à partir, le chasseur qui nous a approché à propos du lézard géant avant notre dernier voyage me fit signe depuis le quai. Il m'a demandé si nous avions réussi à obtenir des preuves et si nous étions prêts à en partager une partie avec lui.."""
"evt-harbor-quest-trex-complete-1,""$name nous a remercié [pendant un temps infini|infiniment]. En guise de remerciement, il a offert de financer une partie de notre prochaine expédition, ce que j'ai accepté avec plaisir."""
"evt-harbor-quest-trex-complete-report,""$name nous a remercié [pendant un temps infini|infiniment]. En guise de remerciement, il a offert de financer une partie de notre prochaine expédition, ce que j'ai accepté avec plaisir."""
"evt-trex-hunt-quest,""J'ai été approché par un chasseur qui m'a raconté des légendes sur un lézard géant qui erre dans la nature sauvage où nous allions. Il nous a demandé que, si nous rencontrions cette créature, nous lui apporterions une de ses énormes dents."""
"evt-trex-hunt-accept,""J'ai accepté, bien que mon cœur se méfiait d'engager un adversaire aussi redoutable."""
"evt-trex-hunt-refuse,""Je pensais qu'il était plus sage de ne pas tester notre force avec un ennemi d'une telle stature. Le chasseur est parti avec un regard déçu sur son visage."""
"trex-mod-desc,""Ce mod ajoute le T-rex ainsi qu'une quête lié avec sa présence dans le jeu."""
