"emy-trex-name","Tyranozaurus Rex"
"it-trexTooth-name","Ząb t-rexa"
"it-trexTooth","Ząb Tyranozaura rexa. Bardzo wartościowy."
"zn-trex-name","T-rex"
"zn-trex-report","§My [stoczyliśmy bitwę z|walczyliśmy z|stanęliśmy do walki z|broniliśmy się przed] [gigantycznym|ogromnym|gargantuicznym|kolosalnym|potwornym] T-rex-em."
"evt-harbor-quest-trex-fail","$name wystartował [w gniewie|wściekły|ze złością]. Później dowiedzieliśmy się, że [$he opowiadał swoim kolegom|$he głośno narzekał tej nocy|$he głośno krzyczał w nocy] o naszej niekompetencji i braku rzetelności. Nasza reputacja nie poprawi się w najbliższym czasie."
"evt-harbor-quest-trex-fail-action","Nie dawaj zęba"
"evt-harbor-quest-trex-complete-action","Oddaj go"
"evt-harbor-quest-trex-complete","Kiedy szykowaliśmy się do odejścia, myśliwy który przyszedł do nas w sprawie gigantycznej jaszczurki, przed naszą ostatnią podróżą wymachiwał do mnie z doku. Zapytał, czy udało nam się zdobyć dowód i czy nieco nie podzielilibyśmy się z nim."
"evt-harbor-quest-trex-complete-1","$name podziękował nam [niezmiernie|z wdzięcznością]. W dowód wdzięczności złożył nam propozycję, że sfinansuje część naszej następnej wyprawy, którą chętnie przyjąłem."
"evt-harbor-quest-trex-complete-report","$name podziękował nam [niezmiernie|z wdzięcznością]. W dowód wdzięczności złożył nam propozycję, że sfinansuje część naszej następnej wyprawy, którą chętnie przyjąłem."
"evt-trex-hunt-quest","Podszedł do mnie myśliwy, który opowiedział mi legendę o gigantycznej jaszczurce przemierzającej dzicz, do której zmierzaliśmy. Poprosił nas o przyniesienie jednego z jej ogromnych zębów, jeśli będziemy mieli z nią do czynienia."
"evt-trex-hunt-accept","Zgodziłem się, choć w głębi serca czułem niepokój na myśl przeciwstawienia się tak groźnemu przeciwnikowi"
"evt-trex-hunt-refuse","Pomyślałem, że lepiej nie sprawdzać naszych sił na wrogu takiej miary. Myśliwy opuścił nas rozczarowany"
"trex-mod-desc","Ta modyfikacja dodaje t-rexa oraz powiązany z nim ciąg zadań do gry."
