"emy-trex-name","Тиранозавр рекс"
"it-trexTooth-name","Зуб тиранозавра"
"it-trexTooth","Зуб тиранозавра. Дуже цінний."
"zn-trex-name","Тиранозавр"
"evt-harbor-quest-trex-fail","[Розлютившись|розізлившись|розсердившись], $name вибігає. Пізніше ми почули, що l$he жаліється колегам на|$he голосно скаржиться тої ночі на|вночі $he дуже лає нас за] нашу некомпетентність і ненадійність. Ми нескоро відновимо свою репутацію."
"evt-harbor-quest-trex-fail-action","Не віддавати зуб"
"evt-harbor-quest-trex-complete-action","Віддати його"
"evt-harbor-quest-trex-complete","Коли ми вже збиралися вирушати, мисливець, який перед минулою мандрівкою розповідав нам про велетенську ящірку, помахав нам рукою з доку. Він запитав, чи ми здобули трофей і чи не хочемо поділитися ним."
"evt-harbor-quest-trex-complete-1","$name [без кінця|безугавно] дякував. Із вдячності він запропонував оплатити частину нашої наступної експедиції, на що ми радо погодилися."
"evt-harbor-quest-trex-complete-report","$name [без кінця|безугавно] дякував. Із вдячності він запропонував оплатити частину нашої наступної експедиції, на що ми радо погодилися."
"evt-trex-hunt-quest","До мене підійшов мисливець і розповів легенди про велетенську ящірку, що бродить у тих нетрях, куди ми прямуємо. Він попросив нас принести величезний зуб тієї істоти, якщо ми її зустрінемо."
"evt-trex-hunt-accept","Ми погодилися, хоча моє серце стислося від думки про такого грізного ворога"
"evt-trex-hunt-refuse","Мені здалося, що краще не мірятися силами із таким сильним ворогом. Мисливець пішов геть із розчарованим виразом на обличчі"
"trex-mod-desc","Цей мод додає до гри тиранозавра та пов'язане завдання."
