"emy-trex-name","티라노사우루스 렉스"
"it-trexTooth-name","티라노사우루스 이빨"
"it-trexTooth","티라노사우루스 렉스의 이빨입니다. 매우 가치가 높습니다."
"zn-trex-name","티라노사우루스"
"zn-trex-report","§우리들은 [매우 거대한|거대한|엄청나게 큰|어마어마하게 큰|괴물같은] [티라노사우루스에게 공격받았다|티라노사우루스에게 습격당했다|티라노사우루스에 맞서 싸웠다|티라노사우루스의 공격을 막아냈다]."
"evt-harbor-quest-trex-fail","$name 은/는 [분노로 가득한 채로|분노한 채로|화를 내며] 뛰쳐나갔다. 나중에 우리들은 $그가 우리들의 무능력함과 신뢰할 수 없는 모습들 때문에 [동료들을 향해 분통을 터뜨리고 있었다는 것을|그날 밤 큰 소리로 불평하는 것을|한밤중에 큰 소리로 소리를 질렀다는 것을] 알아냈다."
"evt-harbor-quest-trex-fail-action","이빨을 주지 않는다"
"evt-harbor-quest-trex-complete-action","건네준다"
"evt-harbor-quest-trex-complete","우리가 출발할 준비를 하는 중에 이전 탐험에서 우리에게 거대한 도마뱀과 관련된 일을 맡겼던 사냥꾼이 부두에서 나에게 손을 흔들고 있었다. 그는 우리가 사냥의 증거품을 확보했는지, 그리고 그에게 그것을 나누어 줄 수 있는지를 물어보았다."
"evt-harbor-quest-trex-complete-1","$name 은/는 우리에게 [끝없는 감사를 보냈다|끝없이 감사했다]. 감사의 표시로 그는 우리들의 다음 탐험을 위한 재정적인 도움을 제공하였고, 나는 기꺼이 받아들였다."
"evt-harbor-quest-trex-complete-report","$name 은/는 우리에게 [끝없는 감사를 보냈다|끝없이 감사했다]. 감사의 표시로 그는 우리들의 다음 탐험을 위한 재정적인 도움을 제공하였고, 나는 기꺼이 받아들였다."
"evt-trex-hunt-quest","나는 한 사냥꾼을 만나 우리들이 향하는 곳에서 한 거대한 도마뱀이 배회하고 있다는 전설에 관한 이야기를 들었다. 그는 우리들이 그 생물을 마주친다면, 그것의 거대한 이빨 중 하나를 그에게 가져와달라고 부탁했다."
"evt-trex-hunt-accept","I accepted, though my heart was wary of engaging such a fearsome opponent"
"evt-trex-hunt-refuse","I thought it wiser not to test our strength with an enemy of such stature. The hunter left with a disappointed look on his face"
"trex-mod-desc","이 모드는 티라노사우르스 렉스 및 관련 퀘스트를 게임에 추가합니다."
