"emy-trex-name","雷克斯暴龙"
"it-trexTooth-name","暴龙之牙"
"it-trexTooth","暴龙的牙，非常值钱。"
"zn-trex-name","霸王龙"
"evt-harbor-quest-trex-fail","$name[愤怒地|生气地|满腔怒火地]跑向了远处。后来我们发现[$他$一直在向他的同伴们发泄他针|$他$当晚在大声地说着|晚上听到了$他$叫喊着]对我们的无能与不可靠的抱怨。我们的名声近期是不可能恢复了。"
"evt-harbor-quest-trex-fail-action","不交出牙齿"
"evt-harbor-quest-trex-complete-action","交出牙齿"
"evt-harbor-quest-trex-complete","当我们准备离开的时候，那位委托我们解决那只大蜥蜴的猎人正在港口上对我们挥手。他问我们是否拿到了证据，还有我们能否拿出来和他分享一些。"
"evt-harbor-quest-trex-complete-1","$name[不停地|一直在]感谢我们。作为回报，他提供了一笔钱来赞助我们下一次的探险，我则欣然接受了。"
"evt-harbor-quest-trex-complete-report","$name[不停地|一直在]感谢我们。作为回报，他提供了一笔钱来赞助我们下一次的探险，我则欣然接受了。"
"evt-trex-hunt-quest","一位猎人找上了我，和我讲述了一只在我们即将前往的荒野上徘徊的大蜥蜴的事情。他请求我们如果我们遇到了这只生物就带一颗它的巨齿给他。"
"evt-trex-hunt-accept","我接受了，虽然我感觉对付这样一个可怕的对手会非常危险。"
"evt-trex-hunt-refuse","我认为用这样一只巨大的敌人来测试我们的力量并不是很明智。猎人带着一副失望的神情离开了。"
"trex-mod-desc","这个模组在游戏中加入了霸王龙与一条相关任务线。"
