"emy-trex-name","ティラノサウルス ・ レックス"
"it-trexTooth-name","ティラノサウルスの牙"
"it-trexTooth","ティラノサウルスの牙。高い価値がある。"
"zn-trex-name","ティーレックス"
"evt-harbor-quest-trex-fail","$nameは[怒って|激怒して|腹を立てて]出て行きました。私たちは後に、私たちの無能力と信頼性の欠如について[$heが同僚に愚痴っているのに気付きました|$heが夜に声高に愚痴をこぼしているのに気付きました|$heが夜遅くまで叫んでいることを耳にしました]。私たちの評判はすぐに回復しませんでした。"
"evt-harbor-quest-trex-fail-action","歯を与えない"
"evt-harbor-quest-trex-complete-action","歯を渡す"
"evt-harbor-quest-trex-complete","私たちが出発する準備をしている時に、最後の旅を出発する前に巨大なトカゲについての話を教えてくれたハンターがドックで私に手を振っていました。彼は、私たちが証拠を握ったかどうか、そしてその一部を彼と共有する意思があるかどうかを尋ねました。"
"evt-harbor-quest-trex-complete-1","$nameは私たちに[果てしなく|際限なく]お礼を述べました。彼は恩返しに、次の探検旅行の資金を調達することを提案し、私は喜んで受け入れました。"
"evt-harbor-quest-trex-complete-report","$nameは私たちに[果てしなく|際限なく]お礼を述べました。彼は恩返しに、次の探検旅行の資金を調達することを提案し、私は喜んで受け入れました。"
"evt-trex-hunt-quest","ハンターが近づいて、私たちが向かう荒野をうろつく巨大なトカゲについての伝説を教えてくれました。彼は、この巨大なトカゲに出会ったら、トカゲの巨大な歯を1つ持って来ることを頼みました。"
"evt-trex-hunt-accept","私は応じましたが、心の中ではその恐ろしい相手と戦うことを警戒していました。"
"evt-trex-hunt-refuse","私は、その巨大な敵と力比べをしない方が賢明だと思いました。ハンターはがっかりした表情で去りました。"
"trex-mod-desc","この改造版は、ティーレックスと関連するクエストチェーンをゲームに追加します。"
