"emy-trex-name","Tyrannosaurus Rex"
"it-trexTooth-name","T-rex dişi"
"it-trexTooth","Bir Tyrannosaurus rex dişi. Oldukça değerli."
"zn-trex-name","T-rex"
"evt-harbor-quest-trex-fail","$name [öfkeyle|bir hırsla|hiddetle] kaçtı. Daha sonra biz [$he'nin meslektaşı ile çalıştığını öğrendik|$he gece yüksek sesle şikayet etmişti|$he geceleyin] beceriksizliğimiz ve güvenilirliğimiz olmadığı için bağırdığını duydu. İtibarımız yakında iyileşmez."
"evt-harbor-quest-trex-fail-action","Bir diş verme"
"evt-harbor-quest-trex-complete-action","Teslim et"
"evt-harbor-quest-trex-complete","Son yolculuğumuzun bana iskeleden el sallamadan önce dev kertenkele hakkında bize yaklaşan avcıdan ayrılmaya hazırlanırken. Kanıt elde edip edemediğimizi ve bir kısmını onunla paylaşmak isteyip istemediğimizi sordu."
"evt-harbor-quest-trex-complete-1","$name bize [sonsuz|sonsuz bir şekilde] teşekkür etti. Minnettarlığımla, memnuniyetle kabul ettiğim bir sonraki gezimizin bir bölümünü finanse etmeyi teklif etti."
"evt-harbor-quest-trex-complete-report","$name bize [sonsuz|sonsuz bir şekilde] teşekkür etti. Minnettarlığımla, memnuniyetle kabul ettiğim bir sonraki gezimizin bir bölümünü finanse etmeyi teklif etti."
"evt-trex-hunt-quest","Bana gittiğimiz vahşi doğada dolaşan dev bir kertenkele hakkında efsanelerden bahseden bir avcı tarafından yaklaşıldı. Yaratıkla karşılaşırsak, bizden onun kocaman dişlerinden birini getirmemizi istedi."
"evt-trex-hunt-accept","Kalbim böyle korkunç bir rakiple meşgul olmasına rağmen, kabul ettim"
"evt-trex-hunt-refuse","Gücümüzü bu tür bir düşmanla test etmemek için akıllıca düşündüm. Avcı yüzünde hayal kırıklığına uğramış bir bakış bıraktı"
"trex-mod-desc","Bu mod t-rex ve ilgili quest zincirini oyuna ekler."
