"fxt-village-human-name","人类村落"
"evt-village-pillage-action","劫掠"
"evt-village-huntSlaves-action","猎杀人类"
"evt-village-evict-action","惊吓以驱逐民众"
"evt-village-human-abandoned-action","[在多次摆出姿态与恐吓之后, 当地民众带着它们的细软逃走了|人类欣然接受了我让它们撤退的最后通牒 |由于害怕我们的威胁, 人类迅速地收拾起了它们手上不多的财物逃走了]。屋子现在被遗弃了。"
"evt-village-human-abandoned-morning","[这天早晨一阵可怕的寂静笼罩着这些屋子|一个人影都看不到|这天早晨什么都没看见也没听见]，只有我们。"
"it-slaves-name","人类俘虏"
"it-slaves","一个可悲的人类，为了大人猿帝国的荣耀而被抓捕了起来。"
"pl-slaveCart-title","牢笼"
"pl-slaveCart","可以放在运输车上的笼子，每次升级都能更有效地堆积更多人类。一份人猿独创的伟大发明！"
"st-slave-stacking-description-1","一份人猿技术的奇迹。能够让你在每个笼子运输一个人类。"
"st-slave-stacking-description-2","一份人猿技术的奇迹。能够让你在每个笼子运输两个人类。"
"st-slave-stacking-description-3","一份人猿技术的奇迹。能够让你在每个笼子运输三个人类。"
"st-slave-stacking-description-4","一份人猿技术的奇迹。能够让你在每个笼子运输四个人类。"
"st-slave-stacking-1-title","猿人效率1"
"st-slave-stacking-2-title","猿人效率2"
"st-slave-stacking-3-title","猿人效率3"
"st-slave-stacking-4-title","猿人效率4"
"evt-human-fight","[人类明白了你的意图，摆好了防御的姿势|笼罩着即将被奴役的恐惧，人类抓起了手边的武器，在我们面前排成了一排|部落中的人们都拒绝束手就擒]。一场战斗不可避免。"
"evt-human-fight-action","活捉他们！"
"evt-human-fight-flee-action","战术性撤退！"
"evt-human-fight-flee","我们最终决定这些标本并不值得如此大费周章并且起身前往了更加繁茂的牧场。在勇气的催动下，他们派出了一个小队前来追捕我们。"
"evt-combat-loot-human-fight","[我们搜索了这片地区并拿走了所有值钱的东西|胜利，战利品归我们了]。"
"pl-warlord-title","人猿领主"
"sp-ee-warlord","一个颜面尽失的将军，布鲁特斯会在战场上毫不留情地战斗来恢复他在人猿大帝眼中的地位。"
"st-warlord-title","主宰"
"pl-athena-title","伟大圣人"
"sp-ee-athena","一位拥有无比智慧的圣人，雅典娜专门保存从被遗忘的时代中存留下来的武器。"
"sp-ee-marcellus","可以说是最富有而且装备最精良的人猿，除了人猿大帝之外。"
"pl-marcellus-title","商贸王子"
"st-sage-title","古老的知识。"
"st-sage","保存远古武器的技能。"
"st-merchant-title","商贸王子"
"st-merchant","可以额外添加一位队员。"
"pl-bloodrider-title","血骑兵"
"pl-bloodrider","血骑士是专业的人类捕手和侦察兵。他们之中的佼佼者会有十分微小的机会加入人猿大帝的贴身护卫队。"
"discoverVillage-1-title","侦查骑兵1"
"discoverVillage-2-title","侦查骑兵2"
"discoverVillage-3-title","侦查骑兵3"
"discoverVillage-4-title","侦查骑兵4"
"discoverVillage-1","找出附近人猿营地的所在。"
"pl-neophyte-title","新兵"
"pk-research-1-title","新手研究员"
"pk-research-1","提高研究的质量与价格。"
"pk-research-2-title","高级研究员"
"pk-research-3-title","专家研究员"
"pk-research-4-title","大师研究员"
"pl-marauder-title","掠夺者"
"pl-marauder","掠夺者将战斗视作狂欢，通过力量来鼓舞他的人猿同胞们。"
"anm-warmount-title","战骑"
"anm-warmount","最为坚韧而又无情的动物，出生于训练都只为了一个目的：战争。"
"ruins-name","废墟"
"evt-ruins-2-action","调查废墟"
"evt-ruins-3","一座古老的废墟矗立在我们面前。[在风吹雨打了几个世纪后它的状态已经很不妙了|它看起来和时间一样老|岁月在它身上留下了痕迹|岁月侵蚀了宏伟一时的景象]。[要有人从外面_爬上去_才能够到入口|还剩下一个狭窄的楼梯通向唯一的入口|我在上面看到了一个入口。我们得从外墙_爬上去_才能够到]。"
"evt-ruins-2","[一幢大型建筑浮现在在我们面前|一座被人猿和人类遗忘许久的古老遗迹矗立在我们面前，沐浴着阳光|我们对面前的建筑充满畏惧与尊敬|我们来到了一座被遗忘许久的遗迹|我们来到一座宏伟的遗迹前，这似乎是一座多年以前就被遗弃的建筑]。[金属墙上盖满了灰尘|所有植物都向着太阳生长|这是它的建造者的能力有力的证明]。[低垂的藤蔓覆盖了大半入口|巨大的楼梯通向一扇同样巨大的门|从传送门里散发出丝丝寒意]。"
"evt-ruins-actions-action","进入废墟"
"evt-ruins-enter","[我们抵达了一个看起来像是小型地下宝库的地方|我们面前坐落着一个被遗忘的保险库|我们小心翼翼地踏入了保存完好的仓库区域]。[如果这个地方藏有任何古物的话，那么我肯定能够将其找出来|我们静静地环顾着盖满了铁锈的房间]。我们的脚步声在宝库中回响。"
"evt-ruins-enter-action","调查宝库"
"evt-ruins-hint-ice","这块金属摸起来非常_冰冷_。[多么有趣啊|一定有什么科学理论可以用来解释这种现象|我在想它是不是有了绝热性，还是说有什么别的理论能解释这件事情]。"
"evt-steal-animals-1","我们面前排着一队合适的动物。我们应该交易哪一个呢？"
"evt-outpost-enter","[我|我们|远征队|我们的队伍|我们的小队][来到了|到达了|进入了]一个营地。一个奴隶贩子与一个宫廷萨满向我们问了好。[这里又脏又乱|这是绝望与悲伤之地|这是人性黑暗面肆虐的场所|这是一个防卫严密的移动营地|营地里到处是垃圾|人类排泄物的恶臭让我眼角流泪]，[四处都散布着囚禁奴隶的笼子|里面有许多装着惊恐奴隶的笼子|巨大的牢笼里关着形形色色的人们]。"
"it-policebaton-name","警棍"
"it-policebaton","一根非常结实的棍子，十分适合用来殴打人类"
"it-grenade-name","手雷"
"it-grenade","一个柠檬形状的金属盒子，扔到人类身上就会“砰”的一声爆炸。"
"it-banana-name","香蕉"
"it-banana","神的圣餐，有时能够使人猿获得强大的肢体力量。并不适合人类食用。"
"zn-roamingNatives-name","人类觅食者"
"it-philosophersstone-name","贤者之石"
"it-philosophersstone","雅典娜最珍贵的宝物：一个通灵的古老文物。"
"anm-warhog-title","战猪"
"anm-warhog","人猿的战猪是一种臭名昭著的凶猛狩猎野兽。有人说它们从一公里之外的地方就能嗅到人类。"
"pl-beastMaster-title","兽王"
"pl-beastMaster","兽王能够“强迫”任何动物来超越它们的身体极限。而且他们在行动时也从来不会忘记自己亲手带大的可靠战猪。"
"evt-harbor-recruit-beastMasterWarhog-action","兽王与战猪"
"evt-harbor-recruit-beastMasterWarhog-1","[兽王于战猪|经验丰富的训练师与忠诚的野兽|驯兽师与忠猪|活力搭档|一对效率组合]能够帮到我们，欢迎他们加入队伍。"
"evt-steal-animals-action","购买载重动物"
"evt-steal-animals","我们要求哨站为我们提供一只合适的载重动物。"
"evt-village-steal-animal"," [我们要求献上一只动物作为对伟大人猿帝国的献礼|为我们逼迫奴隶贩子将他的一只动物上交给我们|我们的表现让奴隶贩子给了我们一只动物|给我们的动物似乎是他们唯一拿得出手的东西了|奴隶贩子委曲求全，屈服在了我们的命令之下|奴隶贩子很明显对于我们夺走他的一只动物而憎恨着我们]。我们将这只野兽[称作|叫做|命名为|取名为]$name 。"
"it-whisky-ape-name","香蕉烧酒"
"it-whisky-ape","根据人猿纯净法酿造，度数极高。不适合人类饮用。"
"fxt-outpost-name","人猿营地"
"evt-outpost-init-action","进入人猿交易站"
"evt-village-human-main-0","村民对我们的到来十分恐惧。父母将孩子藏了起来，村里的长者们在颤抖。"
"evt-village-human-main-1","人类敬畏地看着我们。它们知道眼前站立着的是一份强大力量的化身。"
"evt-village-human-main-2","人类们谨慎地朝我们走了过来。"
"evt-village-human-main-3","人类们似乎并不是很怕我们。它们看起来满是……恶意。"
"evt-village-human-main-4","人类充满了敌意。它们其中甚至有人敢在我们面前携带武器。"
